"KTC AIA 10 งวด 13,210.2 บาท",,,,,KTC AGODA TH 10 งวด 2255.47 บาท,,,
เดือน,งวด,ยอด,สถานะ,,เดือน,งวด,ยอด,สถานะ
08/2568,7 รวมดอก,558.69,TRUE,,08/2568,7 รวมดอก,170.76,TRUE
09/2568,8 รวมดอก,558.69,TRUE,,09/2568,8 รวมดอก,170.76,TRUE
10/2568,9 รวมดอก,558.69,TRUE,,10/2568,9 รวมดอก,170.76,TRUE
11/2568,10 รวมดอก,558.69,TRUE,,11/2568,10 รวมดอก,170.76,TRUE
เหลือจ่ายทั้งหมด,,,0.00,,เหลือจ่ายทั้งหมด,,,0.00
,,,,,,,,
,,,,,,,,
"KTC MI PAD 10 งวด 7,999 บาท",,,,,"KTC AIA 10 งวด 13,210.2 บาท",,,
เดือน,งวด,ยอด,สถานะ,,เดือน,งวด,ยอด,สถานะ
08/2568,1 รวมดอก,799.9,TRUE,,10/2568,1 รวมดอก,"1,321.02",TRUE
09/2568,2 รวมดอก,799.9,TRUE,,11/2568,2 รวมดอก,"1,321.02",TRUE
10/2568,3 รวมดอก,799.9,TRUE,,12/2568,3 รวมดอก,"1,321.02",TRUE
11/2568,4 รวมดอก,799.9,TRUE,,01/2569,4 รวมดอก,"1,321.02",TRUE
12/2568,5 รวมดอก,799.9,TRUE,,02/2569,5 รวมดอก,"1,321.02",TRUE
01/2569,6 รวมดอก,799.9,TRUE,,03/2569,6 รวมดอก,"1,321.02",FALSE
02/2569,7 รวมดอก,799.9,TRUE,,04/2569,7 รวมดอก,"1,321.02",FALSE
03/2569,8 รวมดอก,799.9,FALSE,,05/2569,8 รวมดอก,"1,321.02",FALSE
04/2569,9 รวมดอก,799.9,FALSE,,06/2569,9 รวมดอก,"1,321.02",FALSE
05/2569,10 รวมดอก,799.9,FALSE,,07/2569,10 รวมดอก,"1,321.02",FALSE
เหลือจ่ายทั้งหมด,,,"2,399.70",,เหลือจ่ายทั้งหมด,,,"6,605.10"
,,,,,,,,
,,,,,,,,
"KTC แม่ผ่าตัด 10 งวด 37,700.622 บาท",,,,,KTC รวม แต่ละเดือนที่ต้องจ่าย,,,
เดือน,งวด,ยอด,สถานะ,,เดือน,ยอด,,เหลือ
10/2568,1 รวมดอก,"3,770.06",TRUE,,10/2568,"14,645.33",,"14,645.33"
11/2568,2 รวมดอก,"3,770.06",TRUE,,11/2568,"14,645.33",,"14,645.33"
12/2568,3 รวมดอก,"3,770.06",TRUE,,12/2568,11304.6622,,11304.6622
01/2569,4 รวมดอก,"3,770.06",TRUE,,01/2569,11304.6622,,11304.6622
02/2569,5 รวมดอก,"3,770.06",TRUE,,02/2569,11304.6622,,11304.6622
03/2569,6 รวมดอก,"3,770.06",FALSE,,03/2569,11304.6622,,11304.6622
04/2569,7 รวมดอก,"3,770.06",FALSE,,04/2569,11304.6622,,11304.6622
05/2569,8 รวมดอก,"3,770.06",FALSE,,05/2569,11304.6622,,11304.6622
06/2569,9 รวมดอก,"3,770.06",FALSE,,06/2569,11304.6622,,11304.6622
07/2569,10 รวมดอก,"3,770.06",FALSE,,07/2569,11304.6622,,11304.6622
เหลือจ่ายทั้งหมด,,,"18,850.31",,08/2569,623.68,,623.68
,,,,,09/2569,623.68,,623.68
,,,,,,,,
"KTC มือถือ 10 งวด 47,900 บาท",,,,,,,,
เดือน,งวด,ยอด,สถานะ,,,,,
10/2568,1 รวมดอก,"4,790.00",TRUE,,,,,
11/2568,2 รวมดอก,"4,790.00",TRUE,,,,,
12/2568,3 รวมดอก,"4,790.00",TRUE,,,,,
01/2569,4 รวมดอก,"4,790.00",TRUE,,,,,
02/2569,5 รวมดอก,"4,790.00",TRUE,,,,,
03/2569,6 รวมดอก,"4,790.00",FALSE,,,,,
04/2569,7 รวมดอก,"4,790.00",FALSE,,,,,
05/2569,8 รวมดอก,"4,790.00",FALSE,,,,,
06/2569,9 รวมดอก,"4,790.00",FALSE,,,,,
07/2569,10 รวมดอก,"4,790.00",FALSE,,,,,
เหลือจ่ายทั้งหมด,,,"23,950.00",,,,,
,,,,,,,,
,,,,,,,,
KTC กินเบียร์เลี้ยงรุ่น 10 งวด 6800 บาท,,,,,,,,
เดือน,งวด,ยอด,สถานะ,,,,,
12/2568,1 รวมดอก,623.68,TRUE,,,,,
01/2569,2 รวมดอก,623.68,TRUE,,,,,
02/2569,3 รวมดอก,623.68,TRUE,,,,,
03/2569,4 รวมดอก,623.68,FALSE,,,,,
04/2569,5 รวมดอก,623.68,FALSE,,,,,
05/2569,6 รวมดอก,623.68,FALSE,,,,,
06/2569,7 รวมดอก,623.68,FALSE,,,,,
07/2569,8 รวมดอก,623.68,FALSE,,,,,
08/2569,9 รวมดอก,623.68,FALSE,,,,,
09/2569,10 รวมดอก,623.68,FALSE,,,,,
เหลือจ่ายทั้งหมด,,,"4,365.76",,,,,
